Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
600	-4215.321	-4769.757	554.4358	0.9930597	0.753627	0.0426082	0.127614	0.0761516	1.263767	3.218889	0.1988915	0.429596	0.339529	0.189978	0.0408968
606	-4222.976	-4778.193	555.2168	0.9930597	0.625465	0.0353622	0.135045	0.204128	1.34184	2.703277	0.2018695	0.32626	0.483743	0.110243	0.0797554
612	-4233.641	-4787.282	553.6412	0.8676747	0.54934	0.0338688	0.283321	0.13347	1.125853	3.556646	0.8185737	0.545621	0.149922	0.286638	0.0178199
618	-4239.82	-4793.792	553.9713	0.6632491	0.600871	0.108682	0.196853	0.0935947	1.09004	3.604509	0.6651996	0.393619	0.344741	0.221791	0.0398489
624	-4227.512	-4782.816	555.3043	0.6523222	0.458366	0.195103	0.177709	0.168821	1.263445	2.761561	0.5937967	0.366639	0.387872	0.212081	0.0334082
630	-4220.619	-4776.267	555.6478	0.7158612	0.546024	0.136476	0.237378	0.0801223	1.431072	2.558783	0.2009881	0.411997	0.369676	0.0896036	0.128723
636	-4222.98	-4778.644	555.6631	0.7158612	0.555092	0.123251	0.24132	0.0803371	1.321255	2.617303	0.2009881	0.497584	0.40283	0.0821632	0.0174235
642	-4203.21	-4758.876	555.6664	0.6693666	0.52596	0.169264	0.228655	0.0761209	1.328929	2.640991	0.2009881	0.498926	0.404917	0.082589	0.0135675
648	-4214.221	-4769.929	555.7081	0.6340028	0.52596	0.169264	0.228655	0.0761209	1.340328	2.619447	0.1824357	0.57807	0.340961	0.0695442	0.0114245
654	-4223.236	-4778.578	555.3417	0.6746801	0.599168	0.138395	0.0951635	0.167274	1.137205	2.962327	0.2659465	0.434975	0.42512	0.12566	0.0142445
660	-4230.798	-4787.4	556.6019	0.8726384	0.519951	0.22295	0.076932	0.180167	1.508719	1.7908	0.2666462	0.293233	0.52808	0.156094	0.0225927
666	-4223.462	-4780.041	556.5782	0.6481645	0.62594	0.173906	0.070655	0.129499	1.357948	2.067983	0.2666462	0.29715	0.535134	0.158179	0.00953634
672	-4207.776	-4764.161	556.3851	0.6965491	0.594711	0.0742019	0.20805	0.123038	1.457776	2.067983	0.3554104	0.296955	0.534782	0.158075	0.010188
678	-4218.294	-4773.336	555.0421	0.8163616	0.591689	0.0738249	0.206993	0.127493	1.179789	3.014972	0.3201705	0.341861	0.497253	0.151412	0.00947308
684	-4210.224	-4765.219	554.9955	0.7568009	0.673888	0.0965052	0.0844018	0.145205	1.267047	3.014972	0.3548313	0.333213	0.477532	0.172469	0.0167864
690	-4191.547	-4746.633	555.0866	0.6565921	0.491106	0.331598	0.0610995	0.116196	1.304636	2.991428	0.3772349	0.195404	0.643566	0.15663	0.00440007
696	-4201.635	-4756.517	554.8819	0.777034	0.546842	0.189844	0.08723	0.176083	1.297337	2.991428	0.4727148	0.404191	0.331165	0.257413	0.00723127
702	-4196.453	-4752.297	555.8446	0.6739358	0.507796	0.176289	0.152405	0.16351	1.411586	2.428531	0.418076	0.500908	0.348945	0.14022	0.00992764
708	-4199.998	-4755.182	555.1848	0.6423406	0.532051	0.18654	0.218723	0.0626858	1.435326	2.891638	0.3003197	0.208088	0.553672	0.222487	0.0157522
714	-4207.621	-4762.893	555.2716	0.574994	0.476054	0.254089	0.209745	0.0601127	1.204511	2.967938	0.4249622	0.282161	0.375293	0.296022	0.0465237
720	-4189.169	-4744.482	555.3131	0.7052073	0.423152	0.275348	0.194901	0.106599	1.427972	2.781041	0.2863656	0.348095	0.503411	0.0910996	0.057395
726	-4193.737	-4748.934	555.1974	0.7359365	0.603074	0.215591	0.067025	0.114311	1.195511	2.965238	0.3132065	0.249492	0.601131	0.0907041	0.058673
732	-4181.076	-4736.193	555.1168	0.643945	0.548213	0.195979	0.118062	0.137747	1.341683	2.965238	0.3636944	0.278119	0.629692	0.0559786	0.0362104
738	-4196.358	-4751.373	555.0154	0.7289364	0.541558	0.203519	0.116629	0.138294	1.414718	2.844765	0.5160615	0.324524	0.499331	0.120963	0.0551819
744	-4209.386	-4764.291	554.9049	0.6861522	0.432898	0.34181	0.0656772	0.159614	1.39194	2.954165	0.5135921	0.330438	0.50843	0.104945	0.0561874
750	-4221.291	-4776.119	554.828	0.6861522	0.479089	0.339729	0.0225406	0.158642	1.28444	3.079273	0.4891966	0.243561	0.60105	0.113974	0.0414149
756	-4223.154	-4778.889	555.7352	0.6861522	0.51208	0.290868	0.00993537	0.187116	1.28444	2.605641	0.3406241	0.400497	0.473754	0.072509	0.0532394
762	-4226.892	-4781.943	555.0508	0.7166116	0.550425	0.271191	0.0128582	0.165525	1.373188	2.812373	0.5864309	0.371995	0.416039	0.120813	0.0911527
768	-4216.425	-4770.486	554.0615	0.7112241	0.324381	0.401955	0.0149176	0.258746	1.345062	3.479571	0.4901433	0.327576	0.470371	0.109743	0.0923104
774	-4231.896	-4787.047	555.1508	0.9422308	0.65014	0.0515493	0.100533	0.197777	1.341427	2.6691	0.5197632	0.248965	0.567408	0.159104	0.024523
780	-4212.797	-4768.063	555.2657	0.8458359	0.555103	0.11011	0.0923845	0.242402	1.337496	2.6691	0.5079464	0.236626	0.539286	0.182822	0.0412664
786	-4205.238	-4761.11	555.8719	0.6740032	0.599455	0.0849821	0.119902	0.195661	1.489653	2.298279	0.5223583	0.376174	0.534767	0.073349	0.0157105
792	-4213.465	-4769.432	555.9671	0.8318644	0.512904	0.21406	0.079737	0.193299	1.348827	2.212373	0.5351678	0.380055	0.580891	0.0231818	0.0158726
798	-4211.525	-4767.276	555.7508	0.5907637	0.488371	0.269393	0.153782	0.088455	1.253087	2.417844	0.7672676	0.593877	0.361388	0.0199326	0.0248026
804	-4227.881	-4782.599	554.7175	0.6010477	0.55863	0.181392	0.158797	0.101181	1.330486	2.915053	0.8995282	0.392216	0.533426	0.018773	0.0555848
810	-4220.517	-4775.938	555.4214	0.6602442	0.48688	0.21088	0.184612	0.117629	1.331378	2.584004	0.6840432	0.392216	0.533426	0.018773	0.0555848
816	-4228.296	-4783.263	554.9663	0.6342979	0.535673	0.131796	0.203113	0.129417	1.267064	2.904231	0.7059753	0.412417	0.509395	0.0197399	0.0584478
822	-4191.629	-4746.456	554.8272	0.8374255	0.626188	0.093067	0.15046	0.130285	1.246008	3.044044	0.4245032	0.277231	0.628108	0.0273182	0.0673422
828	-4192.223	-4747.395	555.1715	0.7057757	0.605232	0.123419	0.145424	0.125925	1.425635	2.799048	0.4470317	0.275535	0.631642	0.0267879	0.066035
834	-4189.321	-4744.847	555.5254	0.7875115	0.605232	0.123419	0.145424	0.125925	1.370329	2.555771	0.4584881	0.33575	0.619801	0.0407438	0.00370525
840	-4197.585	-4753.71	556.125	0.7086764	0.470082	0.198562	0.159774	0.171582	1.464015	2.197084	0.4102476	0.189918	0.775485	0.0305809	0.00401643
846	-4193.41	-4748.685	555.2756	0.577603	0.561272	0.155922	0.0826199	0.200186	1.407132	2.876346	0.3537637	0.204072	0.708486	0.0838651	0.0035769
852	-4202.103	-4757.789	555.6859	0.6912773	0.534761	0.259182	0.0832159	0.122842	1.539637	2.457885	0.3767973	0.398522	0.484899	0.111058	0.00552148
858	-4214.384	-4769.255	554.8705	0.7318006	0.515934	0.250057	0.115493	0.118517	1.300049	3.09399	0.3340961	0.404457	0.456812	0.135557	0.00317402
864	-4214.275	-4770.479	556.2048	0.6313944	0.425433	0.258282	0.178945	0.137339	1.322626	2.341508	0.2826394	0.336679	0.590413	0.0710584	0.00184999
870	-4194.447	-4750.45	556.003	0.7392911	0.45595	0.230177	0.166682	0.147191	1.412017	2.341573	0.2755779	0.424812	0.454366	0.119398	0.0014237
876	-4185.597	-4741.56	555.9623	0.6473913	0.463159	0.334095	0.0910716	0.111675	1.447265	2.286286	0.5213112	0.417705	0.457959	0.117401	0.00693619
882	-4208.47	-4764.487	556.0169	0.7613914	0.428349	0.302164	0.160192	0.109294	1.424292	2.263232	0.3977927	0.327048	0.579278	0.0919206	0.00175328
888	-4196.294	-4752.043	555.7491	0.6324977	0.498615	0.267813	0.0734033	0.160168	1.306749	2.558473	0.4579045	0.438591	0.483673	0.0767499	0.000985233
894	-4201.346	-4757.142	555.7956	0.4685244	0.435583	0.315468	0.142814	0.106135	1.442574	2.621238	0.306568	0.226717	0.669046	0.103428	0.000808066
900	-4209.318	-4765.835	556.5177	0.5423942	0.439403	0.372932	0.0569384	0.130726	1.510055	1.988436	0.4685866	0.147109	0.800034	0.0523031	0.000553465
906	-4186.061	-4742.286	556.2248	0.8162061	0.477335	0.270454	0.0813906	0.170821	1.589166	1.947973	0.4540133	0.384387	0.5149	0.0995216	0.00119172
912	-4193.842	-4750.516	556.6737	0.6487312	0.559888	0.283349	0.0852711	0.0714924	1.605221	1.822619	0.3223012	0.268563	0.610807	0.118059	0.00257124
918	-4195.516	-4752.202	556.6865	0.6550939	0.52444	0.329589	0.0790053	0.066966	1.720639	1.702299	0.3775369	0.294832	0.455757	0.248074	0.00133583
924	-4214.272	-4770.54	556.2672	0.5419286	0.426991	0.394137	0.0982813	0.0805905	1.460903	2.268275	0.3025009	0.261169	0.56453	0.173118	0.00118331
